id	name	file	license	author	source_url
6835	кролик	Jumbo rabbit meat.jpg	CC BY-SA 4.0	Gacky-79	https://commons.wikimedia.org/wiki/File:Jumbo_rabbit_meat.jpg
sk-902	крыжовник	Stachelbeere (Ribes uva-crispa).jpg	CC BY-SA 2.5	Darkone	https://commons.wikimedia.org/wiki/File:Stachelbeere_(Ribes_uva-crispa).jpg
2486	кукуруза	Corn on the cob (sweet corn).jpg	CC0	Nutrition, Food Safety &amp; Health	https://commons.wikimedia.org/wiki/File:Corn_on_the_cob_(sweet_corn).jpg
sk-671	кукурузная крупа	Bugas mais (Visayan white corn grits), Philippines 02.jpg	CC0	Obsidian Soul	https://commons.wikimedia.org/wiki/File:Bugas_mais_(Visayan_white_corn_grits),_Philippines_02.jpg
642	кумкват	Kumquat from Spain.jpg	CC BY-SA 4.0	Ivar Leidus	https://commons.wikimedia.org/wiki/File:Kumquat_from_Spain.jpg
sk-10	кумыс	The Origins of the Islamic State - Volume 2.djvu	Public domain	Al-Baladhuri	https://commons.wikimedia.org/wiki/File:The_Origins_of_the_Islamic_State_-_Volume_2.djvu
sk-696	кунжут	Aubergine & Potato curry (506336160).jpg	CC BY 2.0	rovingI	https://commons.wikimedia.org/wiki/File:Aubergine_%26_Potato_curry_(506336160).jpg
sk-863	курага	Ab food 04.jpg	CC BY-SA 3.0	Andrey Butko	https://commons.wikimedia.org/wiki/File:Ab_food_04.jpg
7881	курица	Raw chicken.jpg	CC BY-SA 3.0	Bhaskaranaidu	https://commons.wikimedia.org/wiki/File:Raw_chicken.jpg
custom-2	куркума	Curcuma longa roots.jpg	CC BY-SA 3.0	Simon A. Eugster	https://commons.wikimedia.org/wiki/File:Curcuma_longa_roots.jpg
2187	кускус	Moroccan cuscus, from Casablanca, September 2018.jpg	CC BY-SA 4.0	Lmmima	https://commons.wikimedia.org/wiki/File:Moroccan_cuscus,_from_Casablanca,_September_2018.jpg
custom-11	лавровый лист	Bay Leaves.JPG	Public domain	Miansari66	https://commons.wikimedia.org/wiki/File:Bay_Leaves.JPG
643	лайм	Lime - whole and halved.jpg	CC BY-SA 4.0	Ivar Leidus	https://commons.wikimedia.org/wiki/File:Lime_-_whole_and_halved.jpg
sk-499	лангуст/омар	Angry Lobster in research tank.jpg	CC BY-SA 4.0	Filippo antinori1223	https://commons.wikimedia.org/wiki/File:Angry_Lobster_in_research_tank.jpg
sk-558	лапша	Noodles with Omelette.jpg	CC BY-SA 4.0	Gaurav Dhwaj Khadka	https://commons.wikimedia.org/wiki/File:Noodles_with_Omelette.jpg
2478	латук	Lactuca sativa 'Ashbrook'.jpg	CC BY-SA 4.0	DeFacto	https://commons.wikimedia.org/wiki/File:Lactuca_sativa_%27Ashbrook%27.jpg
sk-429	лещ	Yellowfin bream on a fish measuring mat.jpg	CC0	JaredMcKenzie	https://commons.wikimedia.org/wiki/File:Yellowfin_bream_on_a_fish_measuring_mat.jpg
sk-894	лимон	Lemon.jpg	CC BY-SA 2.5	André Karwath aka Aka	https://commons.wikimedia.org/wiki/File:Lemon.jpg
5693	лимонад	Lemonade with strawberry.jpg	CC BY-SA 4.0	E4024	https://commons.wikimedia.org/wiki/File:Lemonade_with_strawberry.jpg
custom-26	лимонная кислота	Lemon pepper preparation.jpg	CC BY-SA 2.0	'Mararie'	https://commons.wikimedia.org/wiki/File:Lemon_pepper_preparation.jpg
